Variable,Lag_Month,r,n
TP_mg_L,June,0.253,70
TP_mg_L,July,0.243,282
TP_mg_L,August,0.195,280
TP_mg_L,September,0.182,280
TN_mg_L,June,0.494,44
TN_mg_L,July,0.382,282
TN_mg_L,August,0.417,280
TN_mg_L,September,0.337,278
SRP_mg_L,June,0.375,56
SRP_mg_L,July,0.097,263
SRP_mg_L,August,0.054,234
SRP_mg_L,September,0.087,226
NH4_mg_L,June,0.001,68
NH4_mg_L,July,0.102,210
NH4_mg_L,August,0.055,234
NH4_mg_L,September,0.042,234
NO3_mg_L,June,0.236,70
NO3_mg_L,July,0.084,257
NO3_mg_L,August,0.314,264
NO3_mg_L,September,0.316,240
DIN_mg_L,June,0.197,68
DIN_mg_L,July,0.094,202
DIN_mg_L,August,0.319,224
DIN_mg_L,September,0.289,211
pH,June,0.19,70
pH,July,0.225,282
pH,August,-0.019,280
pH,September,-0.05,280
Temp_oC,June,0.037,70
Temp_oC,July,-0.079,261
Temp_oC,August,-0.25,259
Temp_oC,September,-0.258,259
SPC,June,0.671,70
SPC,July,0.554,282
SPC,August,0.559,280
SPC,September,0.571,280
TDS,June,0.578,70
TDS,July,0.499,190
TDS,August,0.522,190
TDS,September,0.524,190
TURBIDITY,June,-0.328,70
TURBIDITY,July,-0.061,242
TURBIDITY,August,0.138,240
TURBIDITY,September,0.142,240
