"temp_variant","predictor","obs_min","obs_max","proj_min","proj_max","n_below","n_above"
"V0","logQ_obs_cfs",1.65609820201283,3.90633504180509,1.85128679744648,3.82194554389205,0,0
"V0","anomaly",1.07361591982952,2.2310668902207,1.30118610802726,2.01615177461438,0,0
"V0","Days_Since_Freshet",20,173,31.3721869918699,152.506431372549,0,0
"V0","Temp_oC",11.925,22.225,15.314,24.55,0,1835
"V0","logTP_mg_L",0.78710609303657,1.85220033670924,0.966097814789091,1.71435110577982,0,0
"V1","logQ_obs_cfs",1.65609820201283,3.90633504180509,1.85128679744648,3.82194554389205,0,0
"V1","anomaly",1.07361591982952,2.2310668902207,1.30118610802726,2.01615177461438,0,0
"V1","Days_Since_Freshet",20,173,31.3721869918699,152.506431372549,0,0
"V1","Temp_oC",11.925,22.225,15.314,24.55,0,1835
"V1","logTP_mg_L",0.78710609303657,1.85220033670924,0.966097814789091,1.71435110577982,0,0
"V2","logQ_obs_cfs",1.65609820201283,3.90633504180509,1.85128679744648,3.82194554389205,0,0
"V2","anomaly",1.07361591982952,2.2310668902207,1.30118610802726,2.01615177461438,0,0
"V2","Days_Since_Freshet",20,173,31.3721869918699,152.506431372549,0,0
"V2","Temp_oC",11.925,22.225,15.314,24.55,0,1835
"V2","logTP_mg_L",0.78710609303657,1.85220033670924,0.966097814789091,1.71435110577982,0,0
"V3mild","logQ_obs_cfs",1.65609820201283,3.90633504180509,1.85128679744648,3.82194554389205,0,0
"V3mild","anomaly",1.07361591982952,2.2310668902207,1.30118610802726,2.01615177461438,0,0
"V3mild","Days_Since_Freshet",20,173,31.3721869918699,152.506431372549,0,0
"V3mild","Temp_oC",11.925,22.225,15.314,24.55,0,1835
"V3mild","logTP_mg_L",0.78710609303657,1.85220033670924,0.966097814789091,1.71435110577982,0,0
"V3strong","logQ_obs_cfs",1.65609820201283,3.90633504180509,1.85128679744648,3.82194554389205,0,0
"V3strong","anomaly",1.07361591982952,2.2310668902207,1.30118610802726,2.01615177461438,0,0
"V3strong","Days_Since_Freshet",20,173,31.3721869918699,152.506431372549,0,0
"V3strong","Temp_oC",11.925,22.225,15.314,24.55,0,1835
"V3strong","logTP_mg_L",0.78710609303657,1.85220033670924,0.966097814789091,1.71435110577982,0,0
